Standpunkt 1,  Ebene Unten,  U1,  1127.459038,  -1516.008869,  -1239.615356,  6.350000,  6.350000,  04/20/18 13:25:01,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.000303 mm,  Weather:T=22.1C,P=982.4hPA(mbar),H=36.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000149, 2 = 0.000045, 3 = 0.000050 mm
20180425,  Fahrtsets Setup 1,  R1,  187.248779,  2265.030602,  -81.807157,  19.050000,  19.050000,  04/25/18 13:55:55,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.005982 mm,  Weather:T=22.2C,P=974.2hPA(mbar),H=40.5%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001800, 2 = 0.001908, 3 = 0.000300 mm
20180425,  Fahrtsets Setup 1,  R2,  -5.612334,  2039.022756,  -82.562320,  19.050000,  19.050000,  04/25/18 13:56:25,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.003779 mm,  Weather:T=22.3C,P=974.2hPA(mbar),H=40.5%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001805, 2 = 0.000296, 3 = 0.000600 mm
20180425,  Fahrtsets Setup 1,  R3,  -178.859461,  2332.678553,  -81.705715,  19.050000,  19.050000,  04/25/18 13:57:40,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.000792 mm,  Weather:T=22.3C,P=974.2hPA(mbar),H=40.5%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000189, 2 = 0.000043, 3 = 0.000650 mm
20180425,  Fahrtsets Setup 1,  Target,  -9.000000,  2236.000000,  -550.000000,  0.000000,  0.000000,  00:00:00,  ,  
20180425,  Zylinder,  1,  -207.733952,  2324.425906,  -102.740234,  6.350000,  6.350000,  04/25/18 13:58:35,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.058877 mm,  Weather:T=22.3C,P=974.2hPA(mbar),H=40.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.003875, 2 = 0.003490, 3 = 0.057600 mm
20180425,  Zylinder,  2,  -207.335790,  2325.735923,  -118.954448,  6.350000,  6.350000,  04/25/18 13:58:41,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.023010 mm,  Weather:T=22.3C,P=974.3hPA(mbar),H=40.5%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000174, 2 = 0.009252, 3 = 0.007600 mm
20180425,  Zylinder,  3,  -101.259112,  2037.681562,  -103.009130,  6.350000,  6.350000,  04/25/18 13:58:56,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.033648 mm,  Weather:T=22.3C,P=974.3hPA(mbar),H=40.5%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.013511, 2 = 0.002115, 3 = 0.018800 mm
20180425,  Zylinder,  4,  -45.775834,  2020.037752,  -117.235255,  6.350000,  6.350000,  04/25/18 13:59:18,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.011801 mm,  Weather:T=22.3C,P=974.1hPA(mbar),H=40.5%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.004310, 2 = 0.000222, 3 = 0.007950 mm
20180425,  Zylinder,  5,  -27.877429,  2017.564556,  -103.726728,  6.350000,  6.350000,  04/25/18 13:59:25,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.017015 mm,  Weather:T=22.3C,P=974.2hPA(mbar),H=40.5%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.006911, 2 = 0.000050, 3 = 0.009750 mm
20180425,  Zylinder,  6,  9.837564,  2017.312931,  -115.041990,  6.350000,  6.350000,  04/25/18 14:00:00,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.068971 mm,  Weather:T=22.3C,P=974.2hPA(mbar),H=40.5%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.013984, 2 = 0.030946, 3 = 0.003350 mm
20180425,  Zylinder - Cardinal Pts,  Start,  -9.502800,  2235.838473,  -239.919508,  0.000000,  0.000000,  00:00:00,  ,  
20180425,  Zylinder - Cardinal Pts,  Ende,  -9.345286,  2235.739129,  -221.497132,  0.000000,  0.000000,  00:00:00,  ,  
20180425,  Zylinder - Cardinal Pts,  Mittelpunkt,  -9.424043,  2235.788801,  -230.708320,  0.000000,  0.000000,  00:00:00,  ,  
20180425,  Main,  Target,  -9.000000,  2236.000000,  -550.000000,  0.000000,  0.000000,  00:00:00,  ,  
20180425,  Fahrtsets Setup 2,  R1,  187.262290,  2264.999059,  -81.655916,  19.050000,  19.050000,  00:00:00,  ,  
20180425,  Fahrtsets Setup 2,  R2,  -5.613091,  2039.003715,  -82.503095,  19.050000,  19.050000,  00:00:00,  ,  
20180425,  Fahrtsets Setup 2,  R3,  -178.841611,  2332.670560,  -81.671225,  19.050000,  19.050000,  00:00:00,  ,  
20180425,  Fahrtsets Setup 2,  Target,  -6.935316,  2235.959133,  -431.145762,  0.000000,  0.000000,  00:00:00,  ,  
20180425,  Positioniere Instr.1,  PIM1_4,  2464.979849,  -2323.889590,  -33.401258,  6.350000,  6.350000,  04/25/18 14:09:15,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.003462 mm,  Weather:T=22.3C,P=974.3hPA(mbar),H=40.3%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000021, 2 = 0.000977, 3 = 0.001000 mm
20180425,  Positioniere Instr.1,  T3,  5347.863342,  -2147.260841,  192.614104,  6.350000,  6.350000,  04/25/18 14:09:44,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.009328 mm,  Weather:T=22.3C,P=974.0hPA(mbar),H=40.3%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000067, 2 = 0.001614, 3 = 0.000600 mm
20180425,  Positioniere Instr.1,  T1,  -4196.977695,  805.390775,  -1981.682975,  6.350000,  6.350000,  04/25/18 14:10:30,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.001382 mm,  Weather:T=22.3C,P=974.0hPA(mbar),H=40.2%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000215, 2 = 0.000169, 3 = 0.000650 mm
20180425,  Positioniere Instr.1,  T2,  2662.176856,  3795.496252,  449.724840,  6.350000,  6.350000,  04/25/18 14:11:35,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.001611 mm,  Weather:T=22.3C,P=974.1hPA(mbar),H=40.2%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000056, 2 = 0.000141, 3 = 0.001450 mm
20180425,  Fahrweg 100,  R1,  187.371967,  2264.851372,  18.219484,  6.350000,  6.350000,  04/25/18 14:18:24,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.011128 mm,  Weather:T=22.3C,P=974.2hPA(mbar),H=40.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000428, 2 = 0.000604, 3 = 0.011000 mm
20180425,  Fahrweg 100,  R2,  -5.414269,  2038.758823,  17.393113,  6.350000,  6.350000,  04/25/18 14:18:47,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.003341 mm,  Weather:T=22.3C,P=974.2hPA(mbar),H=40.3%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000376, 2 = 0.000053, 3 = 0.003250 mm
20180425,  Fahrweg 100,  R3,  -178.768636,  2332.340133,  18.176823,  6.350000,  6.350000,  04/25/18 14:19:16,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.013933 mm,  Weather:T=22.3C,P=974.2hPA(mbar),H=40.3%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.005837, 2 = 0.000155, 3 = 0.002750 mm
20180425,  Fahrweg Null,  R3,  -178.826501,  2332.642882,  -81.671304,  6.350000,  6.350000,  04/25/18 14:21:55,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.002587 mm,  Weather:T=22.3C,P=974.2hPA(mbar),H=40.2%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000112, 2 = 0.000149, 3 = 0.002550 mm
20180425,  Fahrweg Null,  R2,  -5.634786,  2039.025529,  -82.503039,  6.350000,  6.350000,  04/25/18 14:22:31,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.010331 mm,  Weather:T=22.3C,P=974.2hPA(mbar),H=40.3%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.004615, 2 = 0.001568, 3 = 0.002800 mm
20180425,  Fahrweg Null,  R1,  187.268876,  2265.004923,  -81.655893,  6.350000,  6.350000,  04/25/18 14:22:54,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.004433 mm,  Weather:T=22.3C,P=974.2hPA(mbar),H=40.3%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001830, 2 = 0.000221, 3 = 0.001450 mm
20180425,  Fahrtsets Setup 3,  R1,  187.248779,  2265.030602,  -81.807157,  19.050000,  19.050000,  00:00:00,  ,  
20180425,  Fahrtsets Setup 3,  R2,  -5.612334,  2039.022756,  -82.562320,  19.050000,  19.050000,  00:00:00,  ,  
20180425,  Fahrtsets Setup 3,  R3,  -178.859461,  2332.678553,  -81.705715,  19.050000,  19.050000,  00:00:00,  ,  
20180425,  Fahrtsets Setup 3,  Target,  -7.065929,  2235.937428,  -431.227479,  0.000000,  0.000000,  00:00:00,  ,  
20180425,  Fahrweg 150.2,  R1,  187.401891,  2264.755913,  68.435269,  6.350000,  6.350000,  04/25/18 14:30:55,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.001849 mm,  Weather:T=22.3C,P=974.1hPA(mbar),H=40.1%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000005, 2 = 0.000185, 3 = 0.001800 mm
20180425,  Fahrweg 150.2,  R2,  -5.369177,  2038.668969,  67.671277,  6.350000,  6.350000,  04/25/18 14:31:25,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.004929 mm,  Weather:T=22.3C,P=974.3hPA(mbar),H=40.1%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001744, 2 = 0.001660, 3 = 0.000450 mm
20180425,  Fahrweg 150.2,  R3,  -178.721820,  2332.212039,  68.366181,  6.350000,  6.350000,  04/25/18 14:32:30,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.001337 mm,  Weather:T=22.3C,P=974.3hPA(mbar),H=40.1%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000200, 2 = 0.000153, 3 = 0.001200 mm
